t=2016-04-14_02.26.37

l11,1=0,0,0,0,0,0,30,15,55,57,55,0,74,79,79,80,50,82,0,26,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,45,67,0,56,0
l12,1=0,0,0,0,0,0,0,0,0,23,0,76,0,55,84,74,51,91,0,0,32,25,9,71,85,72,0,0,0,0,0,0,0,3,0,0,0,0,63,0
l13,1=0,0,0,0,28,0,38,0,53,66,68,79,44,0,69,50,46,38,0,24,20,42,49,56,0,36,0,0,0,0,0,0,0,0,0,0,0,0,56,0
l14,1=0,0,0,0,0,0,0,0,48,47,0,38,81,48,0,67,65,39,0,0,31,36,0,71,66,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l15,1=0,0,0,0,0,0,0,0,52,54,52,91,80,33,65,0,41,49,0,0,8,0,33,29,79,0,0,0,0,0,0,0,0,0,0,0,56,2,33,0
l16,1=0,0,0,0,0,0,2,0,36,43,0,35,38,46,68,54,0,35,0,15,35,50,69,27,55,49,0,0,0,0,0,0,12,41,3,60,59,0,40,24
l17,1=0,0,0,0,0,0,0,0,32,52,0,54,86,52,72,77,54,0,0,0,31,26,37,34,58,49,0,0,0,0,0,0,0,57,0,0,61,0,0,0
l18,1=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,67,65,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l19,1=0,0,0,0,0,0,0,0,0,0,0,22,0,32,0,0,36,0,37,0,73,38,79,0,0,0,0,0,0,0,0,31,0,0,0,0,45,48,62,65
l20,1=0,0,0,0,0,0,0,0,0,0,0,0,28,32,52,18,51,24,50,76,0,77,78,0,0,0,0,0,0,0,0,0,0,0,0,55,69,65,72,41
l21,1=0,0,0,0,0,0,0,0,60,42,8,0,26,48,49,0,62,23,42,36,75,0,80,0,0,0,8,0,0,0,0,29,33,0,0,68,46,64,70,67
l22,1=0,0,0,0,0,0,0,0,45,35,0,0,19,37,0,50,62,23,49,77,74,75,0,0,10,0,38,0,0,4,0,0,9,0,0,60,70,57,63,68
l23,1=0,0,0,0,0,0,0,0,25,0,0,0,40,46,76,49,37,26,0,0,0,0,0,0,79,61,0,0,0,0,0,0,0,3,51,0,0,0,0,0
l24,1=0,0,0,0,0,0,0,0,0,0,0,39,79,19,77,70,49,41,0,0,0,0,12,73,0,72,0,0,0,0,0,0,41,67,40,0,0,0,0,0
l25,1=0,0,0,0,0,0,0,0,13,0,0,0,62,38,76,0,39,28,0,0,0,0,0,62,78,0,42,0,41,4,0,32,0,63,43,0,0,0,0,0
l26,1=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,45,0,52,72,83,71,80,63,66,43,0,0,0,0,0
l27,1=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,72,86,88,72,74,69,55,0,0,0,0,0
l28,1=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,43,61,75,0,88,84,80,56,68,47,0,0,0,0,0
l29,1=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,8,0,0,6,56,74,74,0,81,74,56,56,43,0,0,0,0,0
l30,1=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,84,74,88,0,61,56,69,0,0,0,0,0,0
l31,1=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,44,0,0,0,51,53,48,65,67,63,0,72,69,57,0,0,0,0,0
l32,1=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,58,14,0,62,0,53,54,64,73,66,76,0,75,70,0,0,0,0,0
l33,1=0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,53,57,0,0,0,0,0,18,62,61,51,50,65,63,65,70,69,0,52,0,0,0,0,0
l34,1=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,52,0,0,57,62,55,51,51,65,66,0,74,84,68,0,0,0,0,0,0
l35,1=0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,41,0,0,0,29,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,73,75,76,37
l36,1=0,0,0,0,0,0,0,0,0,0,0,27,0,8,0,47,37,17,0,19,40,17,70,0,0,0,0,0,0,0,0,0,0,0,0,74,0,72,78,41
l37,1=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,47,62,0,0,0,0,0,0,0,0,0,0,0,0,72,73,0,71,46
